,nn_woman_train_AETOTAL,nn_woman_test_AETOTAL,nn_woman_train_OverweightPreoccupationTotal,nn_woman_test_OverweightPreoccupationTotal,nn_woman_train_OverweightPreoccupation3Diet,nn_woman_test_OverweightPreoccupation3Diet,nn_woman_train_OverweightPreoccupation4TriedFasting,nn_woman_test_OverweightPreoccupation4TriedFasting,nn_woman_train_BIQLITotal,nn_woman_test_BIQLITotal
0,0.5973801903401406,0.5111001954469734,0.5648635991801618,0.48273700445951684,0.3609429283997537,0.1967551992962887,0.33193266075809746,0.20434009703080946,0.5091090869747372,0.48778317061405274
1,0.6023089787652489,0.43862372172040587,0.5566148789413428,0.5221752220942836,0.3572685633443924,0.29556268508856,0.33478305213592885,0.25135471729528625,0.5190868867215384,0.3992241806881527
2,0.5846300495709645,0.5085702172135125,0.5696041804215642,0.4880078801946858,0.34995302851374854,0.2326035551197091,0.33112510452260036,0.2091379473821119,0.5180189147141427,0.4086807489687011
3,0.595587936882857,0.47279064223156264,0.5659380818783577,0.3973058033620638,0.36594686217916095,0.20532889848436253,0.33073451855756275,0.23567425382735485,0.505902282646975,0.4777930594921278
4,0.5869825949574701,0.5417907907771742,0.5694331277317707,0.41111315505613477,0.372644424852447,0.22237324688069915,0.34568519015969545,0.13601454052685447,0.5160662461674779,0.4053701150533434
5,0.5930314678527183,0.556336026434123,0.5618251060782383,0.510788811057743,0.36002678508034425,0.2814072756091399,0.336694244733566,0.18614882036617508,0.5069961547173609,0.4376216455358741
6,0.5918150020435355,0.540480053544121,0.5636275654089924,0.5293639639082071,0.36132782821010445,0.3075832199684507,0.3459067316383877,0.12114346975581547,0.509015393986539,0.4180157884392336
7,0.596340123322622,0.4908670004636573,0.567553382328241,0.47191528126449367,0.370846549920271,0.29837896184316026,0.3387129067583844,0.17152615726334974,0.5164835754136679,0.3731923098534611
8,0.5943497675392021,0.56996304338474,0.5667440160453594,0.5234166389441939,0.3803380134949853,0.18895210714568367,0.3379013450362035,0.15151929877494408,0.5150838744032643,0.39514534450218686
9,0.5980076214055607,0.5245883417590151,0.5689763594163548,0.4902941934906233,0.3760528820495843,0.2502579504267397,0.32601362247371,0.24577963795842062,0.5090377352640992,0.4035237353836041
